grant_title,id,organization,start_year,total_amount,group,Grant start date,start_month,start_day
Instructional Support at Cleveland and Rainier Beach,69,Brazil,2011,1419.0984,medium,9/17/2008,9,17
Mathematics Assessment for Learning Phase One RFP,70,Brunei,2009,22.5585,medium,11/10/2009,11,10
NYC Public Schools: A Retrospective 2002-2009,71,Brunei,2010,23.009,medium,12/1/2008,12,1
NSC Student Data for High Schools Pilot: Georgia,72,Brunei,2011,24.09,medium,11/11/2009,11,11
Common Core Companion Curriculum Project,73,Bulgaria,2009,45.5866,medium,12/17/2009,12,17
Civic Mission of Schools,74,Bulgaria,2010,47.5596,medium,6/1/2008,6,1
Intensive Partnership Site - Participation in MET Research Study,75,Bulgaria,2011,52.401,medium,11/13/2009,11,13
Institute for Local Innovation in Teaching and Learning,76,Burkina Faso,2009,31.4858,medium,10/22/2009,10,22
Campaign for High School Equity,77,Burkina Faso,2010,32.0538,medium,3/1/2008,3,1
Preparing Secondary English Learners for Graduation and College,78,Burkina Faso,2011,32.2443,medium,3/1/2008,3,1
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",79,Burundi,2009,38.9325,medium,10/26/2009,10,26
NSC Student Data for High Schools Pilot: Florida,80,Burundi,2010,41.1171,medium,10/30/2009,10,30
The Policy Innovation in Education Network,81,Burundi,2011,41.6264,medium,6/15/2009,6,15
Common Core Strategies for State Policymakers,82,Dominican Republic,2009,30.952,medium,3/18/2010,3,18
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",83,Dominican Republic,2010,31.442,medium,8/28/2009,8,28
Education Equity Agenda: LULAC Parent Involvement Initiative for Campaign for High School Equity,84,Dominican Republic,2011,29.9645,medium,9/21/2009,9,21
8th to 9th Grade Transition and Acceleration Project,85,Ecuador,2009,134.8668,medium,11/1/2009,11,1
Support of professional development and an education workshop for education beat reporters,86,Ecuador,2010,135.5452,medium,9/29/2009,9,29
NSC Student Data for High Schools Pilot: Texas,87,Ecuador,2011,136.0301,medium,10/15/2009,10,15
Supplemental Support Review and Build-out of the Raytheon STEM Model,88,Egypt,2009,268.852,medium,11/4/2009,11,4
The State of Professional Learning: A National Study,89,Egypt,2010,276.3722,medium,11/1/2008,11,1
Education Equity Agenda: Southeast Asian American Action and Visibility in Education (SAVE) Project,90,Egypt,2011,286.1054,medium,8/28/2009,8,28
Roads to Success Curriculum Completion and Distribution,91,El Salvador,2009,14.3197,medium,10/26/2009,10,26
STEM Community Collaborative Phase 2,92,El Salvador,2010,14.1367,medium,3/6/2009,3,6
California ADP Support,93,El Salvador,2011,13.8254,medium,10/22/2008,10,22
Regional convenings for policymakers and leaders to develop commitment to standards and assessments,94,Equatorial Guinea,2009,25.7157,medium,10/26/2009,10,26
Business Planning to Create Hybrid Learning Environments in Existing and New Schools,95,Equatorial Guinea,2010,25.5787,medium,11/8/2009,11,8
Mathematics Assessment for Learning Phase One RFP,96,Equatorial Guinea,2011,25.669,medium,11/13/2009,11,13
KIPPShare National Data Platform,97,Eritrea,2009,6.1612,medium,11/5/2009,11,5
The Equity Project (TEP) Charter School Evaluation,98,Eritrea,2010,6.1925,medium,7/16/2009,7,16
North Carolina STEM Development,99,Eritrea,2011,6.2958,medium,5/1/2008,5,1
Using web-based videos to teach math to high school students,100,Estonia,2009,25.1913,medium,3/18/2010,3,18
CPS Community Ownership Proposal,101,Estonia,2010,29.0265,medium,7/1/2008,7,1
Teacher Working Conditions Survey,102,Estonia,2011,29.6542,medium,10/13/2009,10,13
North Carolina New Technology High School Network Sustainability,103,Ethiopia,2009,144.537,medium,9/1/2008,9,1
Planning Grant for Evaluation of Green Dot's Locke Transformation Project,104,Ethiopia,2010,148.3437,medium,12/1/2008,12,1
"Preparing All Students for College, Work and Citizenship",105,Ethiopia,2011,149.9082,medium,5/1/2008,5,1
Gateway to College Capacity-Building,106,Fiji,2009,0.8876,medium,9/1/2008,9,1
Doubling the Numbers in STEM,107,Fiji,2010,1.3405,medium,11/1/2008,11,1
IMPLEMENTATION: StartL: A Digital Media and Learning Accelerator,108,Fiji,2011,1.5055,medium,11/5/2009,11,5
NAPCS General Operating Support,109,Finland,2009,75.271,medium,10/30/2009,10,30
New England Consortium,110,Finland,2010,83.3728,medium,1/1/2009,1,1
WGHA Ambassadors,111,Finland,2011,75.9098,medium,9/1/2008,9,1
Stay for America (retaining effective Teach for America teachers beyond year 2),112,France,2009,480.5938,medium,10/1/2009,10,1
Grassroots Media Project,113,France,2010,488.4332,medium,5/1/2008,5,1
Education Equity Agenda: Improving Native Student Graduation Rates: Policy Recommendations on High School Reform,114,France,2011,462.5941,medium,8/31/2009,8,31
The State Role In Improving Low-performing Schools,115,Gabon,2009,6.5171,medium,7/1/2008,7,1
Engaging Communities for College Readiness (ENCORE),116,Gabon,2010,6.661,medium,5/1/2008,5,1
New Degree Program for Education Leaders,117,Gabon,2011,7.1733,medium,8/1/2008,8,1
National Advocacy Support for the Common Core Initiative,118,"Gambia, The",2009,6.7684,medium,11/4/2009,11,4
Conceptual and Organizing Platform for Secondary Mathematics Formative Assessments,119,"Gambia, The",2010,6.944,medium,5/11/2009,5,11
Education Practice Launch,120,"Gambia, The",2011,7.0531,medium,7/1/2008,7,1
Building Business Leadership for New Approaches to Teacher Compensation,121,Georgia,2009,10.0446,medium,5/5/2009,5,5
Mathematics Assessment for Learning Phase One RFP,122,Georgia,2010,9.4743,medium,11/16/2009,11,16
THE HIGH SCHOOL REDESIGN INITIATIVE -- PHASE TWO,123,Georgia,2011,10.4328,medium,5/1/2008,5,1
Aligning P-12 and Postsecondary Data Systems,124,Germany,2009,799.2322,medium,9/1/2008,9,1
The Next Generation of NCLR Schools,125,Germany,2010,827.0112,medium,3/1/2008,3,1
Washington STEM Innovation Initiative,126,Germany,2011,805.9671,medium,3/11/2009,3,11
Teacher Effectiveness work,127,Ghana,2009,58.0277,medium,11/7/2009,11,7
Stimulus related work and CSA support,128,Ghana,2010,59.4589,medium,11/11/2009,11,11
"Validating a Common Core of Fewer, Clearer, Higher Standards",129,Ghana,2011,59.2606,medium,5/5/2009,5,5
Preparing parents and students to be advocates for quality school reform in Illinois,130,Greece,2009,114.7317,medium,7/1/2008,7,1
Building Capacity for College Success: Implementing Data Collection Systems and Best Practices,131,Greece,2010,107.6441,medium,5/1/2008,5,1
Support for National Lab Day,132,Greece,2011,106.4736,medium,11/10/2009,11,10
Winning Strategies Black Male Donor Collaborative,133,Grenada,2009,1.7286,medium,7/1/2008,7,1
The Role of School Board Governance in Preaparing Students for College and Workplace Readiness,134,Grenada,2010,1.7461,medium,4/25/2009,4,25
Tracking Students from Secondary to Post Secondary Institutions,135,Grenada,2011,1.7642,medium,11/1/2008,11,1
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",136,Guatemala,2009,51.1263,medium,10/26/2009,10,26
WA State Board of Education Phase II: A Meaningful High School Diploma and A State Accountability Education System,137,Guatemala,2010,50.5749,medium,3/1/2008,3,1
Measures of Effective Teaching Research Site,138,Guatemala,2011,50.2331,medium,11/13/2009,11,13
STEM Capacity Building,139,Guinea,2009,32.6014,medium,7/1/2008,7,1
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",140,Guinea,2010,32.8177,medium,11/10/2009,11,10
DC Achiever Restructuring Partner,141,Guinea,2011,33.1504,medium,11/3/2009,11,3
PRI Guaranty To Unlock Facilities Financing for High Quality Charter Schools,142,Guinea-Bissau,2009,4.2708,medium,8/27/2009,8,27
Common Standards Review and Task Development,143,Guinea-Bissau,2010,4.3053,medium,10/10/2009,10,10
Intermediary management of PRI/Credit Enhancement Program - Los Angeles (Aspire),144,Guinea-Bissau,2011,4.5537,medium,4/8/2010,4,8
Sustainability for Recovery School District,145,Guyana,2009,7.6909,medium,11/3/2009,11,3
Research Design for Project-Based Advanced Placement Courses,146,Guyana,2010,7.4287,medium,11/18/2009,11,18
Accelerate and Enhance Teacher Effectiveness Methods In Districts/Networks,147,Guyana,2011,7.4154,medium,10/9/2009,10,9
AFT Innovation Fund,148,Haiti,2009,8.1284,medium,1/1/2009,1,1
"Applying an R&D model to education to unearth root causes of performance gaps, to effectively vet options for reform.",149,Haiti,2010,7.9624,medium,11/12/2009,11,12
For the Future,150,Haiti,2011,7.9993,medium,11/1/2008,11,1
General Support Supplemental,151,Honduras,2009,47.326,medium,1/21/2010,1,21
Ohio College and Career Ready Consortium,152,Honduras,2010,47.4738,medium,7/18/2009,7,18
Strategic Management of Human Capital in Public Ed,153,Honduras,2011,47.0917,medium,3/1/2008,3,1
to support Teach for America (TFA) with the goal of bringing low income and minority students in TFA classrooms to proficiency,154,Hungary,2009,70.3001,medium,6/26/2009,6,26
Los Angeles Collaborative to Improve College and Career Readiness in LAUSD Schools,155,Hungary,2010,70.5821,high,1/15/2009,1,15
PEN business planning,156,Hungary,2011,69.1482,high,7/10/2009,7,10
Accelerate and Enhance Teacher Effectiveness Methods In Districts/Networks,157,Iceland,2009,3.0537,high,10/22/2009,10,22
CEP standards and assessment work,158,Iceland,2010,2.9422,high,9/8/2009,9,8
College Bound,159,Iceland,2011,2.8108,high,11/1/2008,11,1
Accelerator Enhance Teacher Effectiveness Methods - RE: ASPIRE Model in HISD,160,India,2009,2224.8674,high,11/5/2009,11,5
Ohio Follow-Through on Achieve Policy Study Recommendations,161,India,2010,2304.0432,high,1/1/2008,1,1
Philanthropic Partnership for Public Education,162,India,2011,2358.0384,high,3/1/2008,3,1
A Progressive Agenda for Human Capital Policy Reform,163,Indonesia,2009,2032.235,high,7/1/2008,7,1
Gates-EdVisions Moving Forward,164,Indonesia,2010,2033.0459,high,12/1/2008,12,1
Texas Education Research Support,165,Indonesia,2011,2052.9103,high,11/1/2008,11,1
Portable Word Play - Discovering What Handheld Games Can Do for Adolescent Reading Comprehension,166,Iran,2009,698.445,high,11/18/2009,11,18
Baltimore Sustainability Plan,167,Iran,2010,695.2992,high,5/1/2008,5,1
Academic Youth Development,168,Iran,2011,712.4475,high,11/18/2009,11,18
Campaign for High School Equity,169,Iraq,2009,209.0061,high,9/1/2008,9,1
support the K-12 backmapping of the standards,170,Iraq,2010,227.1567,high,10/12/2009,10,12
Building College-Ready Culture in Our High Schools,171,Iraq,2011,236.1285,high,5/1/2008,5,1
Measures of Effective Teaching Research Site,172,Ireland,2009,60.5836,high,1/4/2010,1,4
Technical Assistance for Standards/Assessment Partners,173,Ireland,2010,60.163,high,11/19/2009,11,19
Making NSC Data Actionable for School Leaders,174,Ireland,2011,56.4101,high,5/22/2009,5,22
Charlotte-Mecklenburg Measures of Teacher Effectiveness Research,175,Israel,2009,81.6508,high,9/3/2009,9,3
College Ready Course Sequence Implementation,176,Israel,2010,86.9162,high,9/14/2009,9,14
Partnership for Learning Statewide Advocacy + Stimulus RTT TA,177,Israel,2011,86.9609,high,11/1/2009,11,1
Accelerated Partnership to Empower Effective Teachers,178,Italy,2009,456.0546,high,2/4/2010,2,4
LEV Statewide Advocacy Expansion,179,Italy,2010,463.1778,high,10/29/2009,10,29
NCEE state partnerships,180,Italy,2011,457.9696,high,10/19/2009,10,19
Development of frameworks for the assessment of teacher knowledge,181,Jamaica,2009,12.2799,high,11/14/2009,11,14
Organizing for High School Reform,182,Jamaica,2010,12.0012,high,9/1/2008,9,1
Expansion of Urban Teacher Residency (UTRU),183,Jamaica,2011,12.1052,high,9/1/2009,9,1
Advance Illinois organization build,184,Japan,2009,1073.0782,high,5/15/2008,5,15
Validation of the Teaching as Leadership Rubric,185,Japan,2010,1119.975,high,10/5/2009,10,5
CMO Research Study Project Management,186,Japan,2011,1170.283,high,5/1/2008,5,1
6to16,187,Jordan,2009,26.0494,high,3/1/2008,3,1
Education Equity Agenda: Support for Campaign for High School Equity coordination of national civil rights organization national policy advocacy of College Ready and Postsecondary Strategies,188,Jordan,2010,25.8197,high,10/19/2009,10,19
Strengthening State College Readiness Initiatives,189,Jordan,2011,24.9676,high,3/1/2008,3,1
Intensive Partnership Site - Participation in MET Research Study,190,Kazakhstan,2009,264.0782,high,11/3/2009,11,3
New-Media Capacity Building at EPE,191,Kazakhstan,2010,300.8368,high,5/1/2009,5,1
Implementation: National PTA support for college-readiness,192,Kazakhstan,2011,302.8126,high,11/3/2009,11,3
The Public Education Reform and Community Development Link: A Sustainable Solution,193,Kenya,2009,55.5594,high,11/1/2008,11,1
Project GRAD USA's National College Readiness Initiative,194,Kenya,2010,56.8606,high,9/1/2008,9,1
Literacy by Design,195,Kenya,2011,55.6479,high,9/17/2009,9,17
THSP Alliance Business Planning,196,Kiribati,2009,0.0551,high,9/1/2008,9,1
Teacher-Student Data Link Project,197,Kiribati,2010,0.0774,high,11/19/2009,11,19
Dropout Prevention,198,Kiribati,2011,0.0747,high,3/19/2008,3,19
Hunt Institute Common State Education Standards Project,199,"Korea, Dem. Rep. (North)",2009,110.8577,high,5/1/2008,5,1
Business Planning for Education grantees,200,"Korea, Dem. Rep. (North)",2010,108.6613,high,4/20/2009,4,20
Develop Tools for Teachers/Districts to Monitor Student Progress,201,"Korea, Dem. Rep. (North)",2011,107.1026,high,11/20/2009,11,20
IB Middle Years Summative Assessment,202,"Korea, Rep. (South)",2009,580.6889,high,8/22/2009,8,22
To Help Governors Improve College and Career Ready Rates,203,"Korea, Rep. (South)",2010,629.5671,high,5/1/2008,5,1
Next Generation PD System,204,"Korea, Rep. (South)",2011,655.612,high,11/12/2009,11,12
Accelerated Partnership to Empower Effective Teachers,205,Kuwait,2009,189.5841,high,1/4/2010,1,4
Intensive Partnership Site - Participation in MET Research Study,206,Kuwait,2010,191.8787,high,10/20/2009,10,20
Scaling NCTQ state and district work,207,Kuwait,2011,195.6716,high,10/21/2009,10,21
NAPCS Industry Development,208,Kyrgyzstan,2009,-5.4133,high,9/1/2008,9,1
Increasing Business Engagement,209,Kyrgyzstan,2010,-4.6703,high,10/8/2008,10,8
Building Support for Federal High School Policy Reform,210,Kyrgyzstan,2011,-4.5165,high,9/1/2008,9,1
NYC DOE Measures of Teacher Effectiveness Research,211,Laos,2009,45.0161,high,8/28/2009,8,28
Aspire Public Schools' Early College High School Capacity Project,212,Laos,2010,45.2108,high,9/1/2008,9,1
Big 8 Superintendents Data Assessment,213,Laos,2011,44.8948,high,11/1/2008,11,1
National Impact Initiative,214,Latvia,2009,-3.3368,high,10/1/2008,10,1
Development and Adaptation of Science and Literacy Formative Assessment Tasks,215,Latvia,2010,-2.2515,high,11/20/2009,11,20
Research Alliance for New York City Schools,216,Latvia,2011,-3.2577,high,10/1/2008,10,1
CCSR General Operating Support,217,Lebanon,2009,25.124,high,5/1/2008,5,1
Deepening and Expanding the Impact of Diploma Plus,218,Lebanon,2010,24.3469,high,9/1/2008,9,1
To provide support to states on RTTT applications,219,Lebanon,2011,21.9894,high,11/4/2009,11,4
Alternative High School Initiative,220,Lesotho,2009,2.3531,high,7/15/2009,7,15
Support for Teaching First to ensure that there is public support for district efforts to improve teacher effectiveness,221,Lesotho,2010,2.6993,high,9/25/2009,9,25
IDEA Public Schools Expansion,222,Lesotho,2011,2.6246,high,11/1/2008,11,1
Title,223,Liberia,2009,16.5691,high,5/1/2008,5,1
College Ready Mathematics Formative Assessments,224,Liberia,2010,16.8827,high,9/25/2009,9,25
Using Standards and Data to Improve Urban School Systems,225,Liberia,2011,16.7033,high,10/1/2008,10,1
College Readiness Data Initiative,226,Libya,2009,140.3229,high,12/1/2008,12,1
Project support for expanding Aspen network,227,Libya,2010,145.7536,high,11/18/2009,11,18
Aligned Instructional Systems,228,Libya,2011,116.9964,high,5/1/2008,5,1
DC Schools Fund,229,Lithuania,2009,25.9959,high,7/1/2008,7,1
Newark School Fund,230,Lithuania,2010,26.7093,high,2/15/2008,2,15
SeaChange Capacity and Catalyst Funding,231,Lithuania,2011,26.6593,high,12/1/2008,12,1
College and Career Ready Graduation Initiative,232,Luxembourg,2009,11.535,high,1/1/2009,1,1
Elevating An Alternative Teacher Voice,233,Luxembourg,2010,12.1485,high,9/30/2009,9,30
Big Picture School Initiative,234,Luxembourg,2011,11.491,high,7/1/2008,7,1
Matching Grant for Classroom Projects in Public High Schools,235,"Macedonia, FYR",2009,12.4791,high,11/1/2008,11,1
"Formative Assessment Data Collection, Task Analysis and Implementation (UCLA/CRESST)",236,"Macedonia, FYR",2010,12.4073,high,11/12/2009,11,12
State and National Common Core Standards Adoption/Implementation Advocacy Support,237,"Macedonia, FYR",2011,12.9296,high,11/5/2009,11,5
Ohio High School Value-Added Project,238,Madagascar,2009,78.0746,high,10/1/2008,10,1
Creating a National Movement for Improved K-12 Education,239,Madagascar,2010,78.5476,high,7/1/2008,7,1
Smart Scholars: Early College High Schools in New York State,240,Madagascar,2011,78.9568,high,7/29/2009,7,29
Phase II - to support the expansion of second generation student tracker for high schools,241,Malawi,2009,22.5777,high,11/20/2009,11,20
Support for Seattle Public Schools' Strategic Plan,242,Malawi,2010,23.3628,high,11/10/2008,11,10
Reforming the Widget Effect: Increasing teacher effectiveness in America's schools,243,Malawi,2011,23.477,high,7/10/2009,7,10
Understanding Teacher Quality,244,Malaysia,2009,414.432,high,11/1/2008,11,1
Equity and Excellence in a Global Era: Expanding the International Studies Schools Network,245,Malaysia,2010,428.9105,high,11/1/2008,11,1
Increase the leadership capacity of chiefs,246,Malaysia,2011,441.2864,high,7/1/2009,7,1
Strong American Schools,247,Maldives,2009,1.1499,high,3/1/2008,3,1
Accelerated Partnership to Empower Effective Teachers,248,Maldives,2010,1.1599,high,1/4/2010,1,4
Accelerated Partnership to Empower Effective Teachers,249,Maldives,2011,1.1581,high,1/13/2010,1,13
American Diploma Project Network,250,Mali,2009,31.4471,high,2/1/2008,2,1
Strategic Data Project,251,Mali,2010,32.2724,high,6/17/2009,6,17
Intensive Partnerships to Empower Effective Teachers,252,Mali,2011,33.0694,high,11/18/2009,11,18
Intensive Partnerships to Empower Effective Teachers (LA-CMO's),253,Malta,2009,2.9692,high,11/19/2009,11,19
Intensive Partnerships to Empower Effective Teachers,254,Malta,2010,3.012,high,11/19/2009,11,19
Intensive Partnerships to Empower Effective Teachers,255,Malta,2011,3.0309,high,11/19/2009,11,19
,256,Mauritania,2009,9.9396,high,11/20/2009,11,19
,257,Mauritania,2010,9.9108,high,11/21/2009,11,19
,258,Mauritania,2011,9.5768,high,11/22/2009,11,19
,259,Mauritius,2009,5.6667,high,11/23/2009,11,19
,260,Mauritius,2010,5.9566,high,11/24/2009,11,19
,261,Mauritius,2011,6.9329,high,11/25/2009,11,19
,262,Mexico,2009,690.0437,high,11/26/2009,11,19
,263,Mexico,2010,706.0062,high,11/27/2009,11,19
,264,Mexico,2011,723.1908,high,11/28/2009,11,19
,265,Moldova,2009,11.2518,high,11/29/2009,11,19
,266,Moldova,2010,11.8209,high,11/30/2009,11,19
,267,Moldova,2011,11.4643,high,12/1/2009,11,19
,268,Mongolia,2009,51.027,high,12/2/2009,11,19
,269,Mongolia,2010,52.5383,high,12/3/2009,11,19
,270,Mongolia,2011,53.4926,high,12/4/2009,11,19
,271,Montenegro,2009,2.843,high,12/5/2009,11,19
,272,Montenegro,2010,3.565,high,12/6/2009,11,19
,273,Montenegro,2011,3.6018,high,12/7/2009,11,19
,274,Morocco,2009,88.3221,high,12/8/2009,11,19
,275,Morocco,2010,92.0352,high,12/9/2009,11,19
,276,Morocco,2011,89.5053,high,12/10/2009,11,19
,277,Mozambique,2009,56.1999,high,12/11/2009,11,19
,278,Mozambique,2010,56.6871,high,12/12/2009,11,19
,279,Mozambique,2011,56.7346,high,12/13/2009,11,19
,280,Myanmar,2009,235.5515,high,12/14/2009,11,19
,281,Myanmar,2010,238.0118,high,12/15/2009,11,19
,282,Myanmar,2011,239.183,high,12/16/2009,11,19
,283,Namibia,2009,23.6557,high,12/17/2009,11,19
,284,Namibia,2010,23.5119,high,12/18/2009,11,19
,285,Namibia,2011,23.6887,high,12/19/2009,11,19
,286,Nauru,2009,0.094,high,12/20/2009,11,19
,287,Nauru,2010,0.0942,high,12/21/2009,11,19
,288,Nauru,2011,0.1788,high,12/22/2009,11,19
,289,Nepal,2009,41.7351,high,12/23/2009,11,19
,290,Nepal,2010,42.8585,high,12/24/2009,11,19
,291,Nepal,2011,43.4725,high,12/25/2009,11,19
,292,Netherlands,2009,210.279,high,12/26/2009,11,19
,293,Netherlands,2010,220.1469,high,12/27/2009,11,19
,294,Netherlands,2011,207.876,high,12/28/2009,11,19
,295,New Zealand,2009,53.0565,high,12/29/2009,11,19
,296,New Zealand,2010,53.0408,high,12/30/2009,11,19
,297,New Zealand,2011,52.7174,high,12/31/2009,11,19
,298,Nicaragua,2009,46.0621,high,1/1/2010,11,19
